a,b,c
30.38,0.94586,2.2923
30.36,0.89944,2.3023
30.393,0.94498,2.3123
30.408,0.95434,2.3223
30.396,0.94266,2.3323
30.417,0.96034,2.3423
30.418,0.95739,2.3524
30.428,0.94059,2.3624
30.433,0.94398,2.3724
30.442,0.96092,2.3824
30.446,0.96018,2.3924
30.436,0.95314,2.4024
30.436,0.95045,2.4124
30.433,0.92213,2.4224
30.447,0.93154,2.4324
30.452,0.94443,2.4424
30.451,0.93154,2.4525
30.458,0.95286,2.4625
30.461,0.95459,2.4725
30.444,0.94596,2.4825
30.453,0.95325,2.4925
30.456,0.9518,2.5025
30.462,0.95615,2.5125
30.457,0.95357,2.5225
30.448,0.97129,2.5325
30.449,0.96517,2.5425
30.432,0.95804,2.5526
30.424,0.95462,2.5626
30.418,0.95843,2.5726
30.415,0.97064,2.5826
30.43,0.98424,2.5926
30.424,0.99877,2.6026
30.42,0.99619,2.6126
30.412,0.98851,2.6226
30.418,1.0032,2.6326
30.412,1.0073,2.6426
30.397,0.99734,2.6527
30.395,0.99638,2.6627
30.391,1.0014,2.6727
30.393,1.0122,2.6827
30.413,1.0199,2.6927
30.391,1.0091,2.7027
30.395,1.018,2.7127
30.397,1.0077,2.7227
30.395,1.0221,2.7327
30.417,1.0424,2.7427
30.402,1.0301,2.7528
30.405,1.0263,2.7628
30.42,1.0519,2.7728
30.404,1.0254,2.7828
30.419,1.0276,2.7928
30.432,1.0103,2.8028
30.432,1.014,2.8128
30.426,1.023,2.8228
30.427,1.0211,2.8328
30.428,1.0266,2.8428
30.431,1.0309,2.8529
30.447,1.0125,2.8629
30.451,1.0091,2.8729
30.459,1.0157,2.8829
30.453,1.014,2.8929
30.444,1.0016,2.9029
30.453,1.0191,2.9129
30.448,0.99897,2.9229
30.443,0.99809,2.9329
30.465,1.0239,2.9429
30.461,1.0235,2.953
30.453,1.0231,2.963
30.459,1.0448,2.973
30.456,1.0264,2.983
30.457,1.0316,2.993
30.492,1.0817,3.003
30.478,1.0792,3.013
30.483,1.0756,3.023
30.469,1.0939,3.033
30.446,1.0771,3.043
30.459,1.0903,3.0531
30.461,1.0897,3.0631
30.446,1.0808,3.0731
30.45,1.0942,3.0831
30.452,1.1061,3.0931
30.441,1.1184,3.1031
30.435,1.1165,3.1131
30.445,1.1259,3.1231
30.442,1.1298,3.1331
30.451,1.1278,3.1431
30.45,1.1501,3.1532
30.449,1.1515,3.1632
30.445,1.1665,3.1732
30.45,1.1614,3.1832
30.443,1.1502,3.1932
30.465,1.1495,3.2032
30.471,1.1768,3.2132
30.47,1.1735,3.2232
30.462,1.1792,3.2332
30.463,1.1693,3.2432
30.475,1.1625,3.2533
30.478,1.1719,3.2633
30.489,1.18,3.2733
30.481,1.157,3.2833
30.482,1.1645,3.2933
30.495,1.1654,3.3033
30.48,1.1619,3.3133
30.494,1.1722,3.3233
30.501,1.1696,3.3333
30.505,1.1466,3.3433
30.51,1.1494,3.3534
30.519,1.1636,3.3634
30.522,1.16,3.3734
30.498,1.1452,3.3834
30.499,1.1479,3.3934
30.501,1.1295,3.4034
30.498,1.1658,3.4134
30.503,1.1464,3.4234
30.509,1.1721,3.4334
30.499,1.1549,3.4434
30.476,1.1478,3.4535
30.474,1.1447,3.4635
30.477,1.1368,3.4735
30.46,1.135,3.4835
30.461,1.1345,3.4935
30.468,1.1361,3.5035
30.459,1.1647,3.5135
30.452,1.1535,3.5235
30.443,1.1682,3.5335
30.445,1.1674,3.5435
30.451,1.1745,3.5536
30.425,1.1606,3.5636
30.437,1.1705,3.5736
30.429,1.1703,3.5836
30.425,1.1781,3.5936
30.429,1.1842,3.6036
30.432,1.1843,3.6136
30.435,1.1958,3.6236
30.437,1.2013,3.6336
30.44,1.2113,3.6436
30.437,1.2021,3.6537
30.449,1.2173,3.6637
30.434,1.2117,3.6737
30.452,1.222,3.6837
30.47,1.219,3.6937
30.445,1.1964,3.7037
30.435,1.1733,3.7137
30.442,1.178,3.7237
30.463,1.2035,3.7337
30.457,1.2027,3.7437
30.44,1.1642,3.7538
30.442,1.1685,3.7638
30.448,1.1966,3.7738
30.467,1.1915,3.7838
30.467,1.1939,3.7938
30.466,1.2,3.8038
30.475,1.1879,3.8138
30.47,1.1885,3.8238
30.473,1.1745,3.8338
30.473,1.1578,3.8438
30.452,1.1508,3.8539
30.453,1.1698,3.8639
30.453,1.1531,3.8739
30.445,1.155,3.8839
30.447,1.1617,3.8939
30.443,1.1486,3.9039
30.449,1.1479,3.9139
30.44,1.1494,3.9239
30.43,1.1394,3.9339
30.43,1.1414,3.9439
30.419,1.1247,3.954
30.413,1.1349,3.964
30.413,1.1338,3.974
30.409,1.1303,3.984
30.408,1.156,3.994
30.397,1.1602,4.004
30.4,1.1893,4.014
30.385,1.1683,4.024
30.386,1.1519,4.034
30.388,1.158,4.044
30.393,1.182,4.0541
30.39,1.1929,4.0641
