a,b,c
30.555,1.6442,2.3023
30.512,1.5604,2.3123
30.545,1.5981,2.3223
30.536,1.5578,2.3323
30.607,1.6112,2.3423
30.632,1.6198,2.3524
30.656,1.6369,2.3624
30.641,1.6033,2.3724
30.644,1.5814,2.3824
30.687,1.6175,2.3924
30.696,1.5803,2.4024
30.694,1.5665,2.4124
30.749,1.6235,2.4224
30.753,1.6035,2.4324
30.792,1.6261,2.4424
30.809,1.6439,2.4525
30.83,1.6758,2.4625
30.804,1.6154,2.4725
30.806,1.6146,2.4825
30.83,1.6568,2.4925
30.801,1.6179,2.5025
30.773,1.5993,2.5125
30.797,1.629,2.5225
30.78,1.6176,2.5325
30.777,1.6339,2.5425
30.772,1.6544,2.5526
30.777,1.6715,2.5626
30.75,1.666,2.5726
30.753,1.6795,2.5826
30.717,1.6489,2.5926
30.721,1.6841,2.6026
30.703,1.6782,2.6126
30.719,1.7221,2.6226
30.71,1.725,2.6326
30.666,1.7242,2.6426
30.643,1.7149,2.6527
30.637,1.7136,2.6627
30.623,1.7152,2.6727
30.617,1.7223,2.6827
30.612,1.7356,2.6927
30.588,1.7254,2.7027
30.567,1.7077,2.7127
30.618,1.7716,2.7227
30.601,1.737,2.7327
30.592,1.7434,2.7427
30.612,1.7624,2.7528
30.632,1.8027,2.7628
30.637,1.7929,2.7728
30.604,1.7493,2.7828
30.637,1.7749,2.7928
30.64,1.7402,2.8028
30.684,1.7895,2.8128
30.706,1.8,2.8228
30.676,1.773,2.8328
30.677,1.7502,2.8428
30.734,1.7887,2.8529
30.733,1.7892,2.8629
30.755,1.7746,2.8729
30.771,1.795,2.8829
30.79,1.8145,2.8929
30.776,1.7937,2.9029
30.801,1.7853,2.9129
30.84,1.8088,2.9229
30.791,1.7604,2.9329
30.806,1.7751,2.9429
30.812,1.7879,2.953
30.829,1.8091,2.963
30.854,1.8359,2.973
30.864,1.8567,2.983
30.876,1.8697,2.993
30.896,1.8822,3.003
30.871,1.8711,3.013
30.865,1.8615,3.023
30.86,1.8844,3.033
30.831,1.8637,3.043
30.848,1.8819,3.0531
30.856,1.8953,3.0631
30.833,1.8871,3.0731
30.808,1.8857,3.0831
30.817,1.9159,3.0931
30.806,1.935,3.1031
30.763,1.9038,3.1131
30.741,1.9072,3.1231
30.722,1.9245,3.1331
30.733,1.9275,3.1431
30.71,1.9387,3.1532
30.745,1.9835,3.1632
30.669,1.9078,3.1732
30.705,1.9532,3.1832
30.716,1.9702,3.1932
30.676,1.9181,3.2032
30.705,1.9677,3.2132
30.708,1.9577,3.2232
30.763,2.0287,3.2332
30.72,1.9848,3.2432
30.651,1.8858,3.2533
30.676,1.9322,3.2633
30.703,1.9315,3.2733
30.706,1.9182,3.2833
30.732,1.9408,3.2933
30.716,1.9098,3.3033
30.716,1.9101,3.3133
30.73,1.8892,3.3233
30.758,1.9087,3.3333
30.798,1.9325,3.3433
30.826,1.9514,3.3534
30.794,1.9109,3.3634
30.805,1.9082,3.3734
30.836,1.9375,3.3834
30.834,1.9161,3.3934
30.832,1.8899,3.4034
30.857,1.9231,3.4134
30.877,1.9537,3.4234
30.843,1.9213,3.4334
30.863,1.9372,3.4434
30.889,1.9688,3.4535
30.852,1.9247,3.4635
30.866,1.9413,3.4735
30.85,1.9062,3.4835
30.898,1.977,3.4935
30.887,1.9833,3.5035
30.833,1.9398,3.5135
30.828,1.9404,3.5235
30.806,1.9348,3.5335
30.869,2.0306,3.5435
30.834,1.9838,3.5536
30.805,1.9645,3.5636
30.794,1.9777,3.5736
30.8,1.9961,3.5836
30.765,1.9634,3.5936
30.773,1.9934,3.6036
30.793,2.0251,3.6136
30.756,1.9952,3.6236
30.775,2.0142,3.6336
30.746,1.9939,3.6436
30.745,2.0033,3.6537
30.758,2.0425,3.6637
