x,y
2.6079e+06,2.166e-17
2.6206e+06,2.4964e-17
2.6333e+06,4.5119e-17
2.646e+06,6.6714e-17
2.6588e+06,1.3695e-16
2.6715e+06,7.0101e-17
2.6842e+06,3.3329e-17
2.6969e+06,2.4713e-17
2.7096e+06,2.9364e-17
2.7224e+06,3.5319e-17
2.7351e+06,6.4956e-17
2.7478e+06,1.026e-16
2.7605e+06,9.6921e-17
2.7732e+06,6.986e-17
2.786e+06,8.3003e-17
2.7987e+06,1.2067e-16
2.8114e+06,1.0457e-16
2.8241e+06,6.288e-17
2.8369e+06,3.5724e-17
2.8496e+06,3.1944e-17
2.8623e+06,3.8735e-17
2.875e+06,7.7888e-17
2.8877e+06,8.1036e-17
2.9005e+06,4.0141e-17
2.9132e+06,2.3548e-17
2.9259e+06,1.9087e-17
2.9386e+06,1.6921e-17
2.9513e+06,1.7588e-17
2.9641e+06,2.1384e-17
2.9768e+06,2.4609e-17
2.9895e+06,3.7962e-17
3.0022e+06,8.1005e-17
3.015e+06,6.736e-17
3.0277e+06,4.9413e-17
3.0404e+06,4.8001e-17
3.0531e+06,6.2566e-17
3.0658e+06,8.5925e-17
3.0786e+06,6.7566e-17
3.0913e+06,4.5398e-17
3.104e+06,3.7902e-17
3.1167e+06,4.7742e-17
3.1294e+06,6.8532e-17
3.1422e+06,5.3803e-17
3.1549e+06,4.5106e-17
3.1676e+06,4.5753e-17
3.1803e+06,3.2768e-17
3.1931e+06,2.7615e-17
3.2058e+06,2.9498e-17
3.2185e+06,5.0808e-17
3.2312e+06,5.2777e-17
3.2439e+06,3.3229e-17
3.2567e+06,2.2575e-17
3.2694e+06,1.9074e-17
3.2821e+06,1.7538e-17
3.2948e+06,1.8888e-17
3.3075e+06,2.1104e-17
3.3203e+06,2.688e-17
3.333e+06,3.699e-17
3.3457e+06,5.4131e-17
3.3584e+06,9.1667e-17
3.3712e+06,6.7124e-17
3.3839e+06,5.4955e-17
3.3966e+06,5.2266e-17
3.4093e+06,4.88e-17
3.422e+06,3.2841e-17
3.4348e+06,2.7813e-17
3.4475e+06,2.9424e-17
3.4602e+06,4.1668e-17
3.4729e+06,4.4979e-17
3.4856e+06,3.4096e-17
3.4984e+06,2.7732e-17
3.5111e+06,2.878e-17
3.5238e+06,3.5496e-17
3.5365e+06,2.4682e-17
3.5492e+06,2.4486e-17
3.562e+06,3.4907e-17
3.5747e+06,4.2407e-17
3.5874e+06,3.0542e-17
3.6001e+06,2.4244e-17
3.6129e+06,2.1603e-17
3.6256e+06,2.3277e-17
3.6383e+06,2.4836e-17
3.651e+06,3.1112e-17
3.6637e+06,4.2591e-17
3.6765e+06,5.0483e-17
3.6892e+06,4.8132e-17
3.7019e+06,5.7617e-17
3.7146e+06,5.1461e-17
3.7273e+06,4.7939e-17
3.7401e+06,4.0143e-17
3.7528e+06,3.073e-17
3.7655e+06,2.5623e-17
3.7782e+06,2.4104e-17
3.791e+06,2.724e-17
3.8037e+06,3.6511e-17
3.8164e+06,3.2938e-17
3.8291e+06,2.7046e-17
3.8418e+06,2.3343e-17
3.8546e+06,2.2758e-17
3.8673e+06,2.9496e-17
3.88e+06,2.3616e-17
3.8927e+06,2.3856e-17
3.9054e+06,2.664e-17
3.9182e+06,3.86e-17
3.9309e+06,3.1499e-17
3.9436e+06,3.0424e-17
3.9563e+06,3.0799e-17
3.9691e+06,3.8273e-17
3.9818e+06,3.7669e-17
3.9945e+06,3.4863e-17
4.0072e+06,4.1323e-17
4.0199e+06,3.5385e-17
4.0327e+06,3.4958e-17
4.0454e+06,3.7184e-17
4.0581e+06,4.9696e-17
4.0708e+06,4.0282e-17
4.0835e+06,3.0479e-17
4.0963e+06,2.5706e-17
4.109e+06,2.3293e-17
4.1217e+06,2.5116e-17
4.1344e+06,2.6339e-17
4.1472e+06,3.0981e-17
4.1599e+06,2.8427e-17
4.1726e+06,2.4895e-17
4.1853e+06,2.2687e-17
4.198e+06,2.1669e-17
4.2108e+06,2.3303e-17
4.2235e+06,2.713e-17
4.2362e+06,2.609e-17
4.2489e+06,2.8094e-17
4.2616e+06,3.8133e-17
4.2744e+06,4.174e-17
4.2871e+06,4.0552e-17
4.2998e+06,3.7506e-17
4.3125e+06,3.7335e-17
4.3252e+06,3.7482e-17
4.338e+06,3.7019e-17
4.3507e+06,3.172e-17
