x,y
2.6079e+06,9.1277e-18
2.6206e+06,1.0619e-17
2.6333e+06,1.3281e-17
2.646e+06,1.701e-17
2.6588e+06,3.1782e-17
2.6715e+06,2.8256e-17
2.6842e+06,1.6901e-17
2.6969e+06,1.169e-17
2.7096e+06,1.0903e-17
2.7224e+06,1.2746e-17
2.7351e+06,1.8098e-17
2.7478e+06,2.7553e-17
2.7605e+06,2.8672e-17
2.7732e+06,2.2055e-17
2.786e+06,2.3421e-17
2.7987e+06,3.1708e-17
2.8114e+06,2.6455e-17
2.8241e+06,2.4099e-17
2.8369e+06,1.5941e-17
2.8496e+06,1.305e-17
2.8623e+06,1.2682e-17
2.875e+06,1.7706e-17
2.8877e+06,2.3818e-17
2.9005e+06,1.6952e-17
2.9132e+06,1.1327e-17
2.9259e+06,8.7372e-18
2.9386e+06,7.9705e-18
2.9513e+06,8.086e-18
2.9641e+06,8.5731e-18
2.9768e+06,9.8218e-18
2.9895e+06,1.2292e-17
3.0022e+06,1.7398e-17
3.015e+06,2.2651e-17
3.0277e+06,1.9099e-17
3.0404e+06,1.7391e-17
3.0531e+06,1.9339e-17
3.0658e+06,2.376e-17
3.0786e+06,2.0471e-17
3.0913e+06,1.5209e-17
3.104e+06,1.3014e-17
3.1167e+06,1.4129e-17
3.1294e+06,1.8528e-17
3.1422e+06,1.7832e-17
3.1549e+06,1.4004e-17
3.1676e+06,1.3971e-17
3.1803e+06,1.285e-17
3.1931e+06,1.1504e-17
3.2058e+06,1.0629e-17
3.2185e+06,1.3043e-17
3.2312e+06,1.6698e-17
3.2439e+06,1.3493e-17
3.2567e+06,1.0198e-17
3.2694e+06,8.2632e-18
3.2821e+06,7.8576e-18
3.2948e+06,7.8784e-18
3.3075e+06,8.467e-18
3.3203e+06,9.735e-18
3.333e+06,1.2004e-17
3.3457e+06,1.5422e-17
3.3584e+06,2.3663e-17
3.3712e+06,2.3051e-17
3.3839e+06,1.8272e-17
3.3966e+06,1.7569e-17
3.4093e+06,1.4613e-17
3.422e+06,1.0815e-17
3.4348e+06,9.6627e-18
3.4475e+06,9.7041e-18
3.4602e+06,1.212e-17
3.4729e+06,1.4004e-17
3.4856e+06,1.2158e-17
3.4984e+06,1.0049e-17
3.5111e+06,9.4933e-18
3.5238e+06,1.1224e-17
3.5365e+06,1.0734e-17
3.5492e+06,9.7907e-18
3.562e+06,1.0404e-17
3.5747e+06,1.3246e-17
3.5874e+06,1.2165e-17
3.6001e+06,9.8494e-18
3.6129e+06,8.7802e-18
3.6256e+06,8.7391e-18
3.6383e+06,9.3937e-18
3.651e+06,1.1236e-17
3.6637e+06,1.3804e-17
3.6765e+06,1.5255e-17
3.6892e+06,1.4843e-17
3.7019e+06,1.3867e-17
3.7146e+06,1.6692e-17
3.7273e+06,1.6029e-17
3.7401e+06,1.3257e-17
3.7528e+06,1.0048e-17
3.7655e+06,8.496e-18
3.7782e+06,8.3913e-18
3.791e+06,8.8568e-18
3.8037e+06,1.1021e-17
3.8164e+06,1.1289e-17
3.8291e+06,1.0106e-17
3.8418e+06,8.9192e-18
3.8546e+06,8.6548e-18
3.8673e+06,9.2049e-18
3.88e+06,9.917e-18
3.8927e+06,9.7433e-18
3.9054e+06,9.786e-18
3.9182e+06,1.1458e-17
3.9309e+06,1.1922e-17
3.9436e+06,1.11e-17
3.9563e+06,1.1368e-17
3.9691e+06,1.2356e-17
3.9818e+06,1.2209e-17
3.9945e+06,1.2051e-17
4.0072e+06,1.1821e-17
4.0199e+06,1.0318e-17
4.0327e+06,9.7886e-18
4.0454e+06,1.0838e-17
4.0581e+06,1.3753e-17
4.0708e+06,1.3519e-17
4.0835e+06,1.1079e-17
4.0963e+06,8.8992e-18
4.109e+06,8.2857e-18
4.1217e+06,8.2264e-18
4.1344e+06,9.005e-18
4.1472e+06,1.0193e-17
4.1599e+06,1.0296e-17
4.1726e+06,9.7142e-18
4.1853e+06,8.668e-18
4.198e+06,8.378e-18
4.2108e+06,8.6361e-18
4.2235e+06,9.6824e-18
4.2362e+06,1.0312e-17
4.2489e+06,1.0504e-17
4.2616e+06,1.2483e-17
4.2744e+06,1.4144e-17
4.2871e+06,1.3465e-17
4.2998e+06,1.1557e-17
4.3125e+06,1.038e-17
4.3252e+06,1.0689e-17
4.338e+06,9.9244e-18
4.3507e+06,9.2382e-18
4.3634e+06,8.7333e-18
4.3761e+06,9.1554e-18
4.3889e+06,1.0492e-17
4.4016e+06,1.1196e-17
4.4143e+06,1.2345e-17
4.427e+06,1.0538e-17
4.4397e+06,9.5895e-18
4.4525e+06,8.8692e-18
4.4652e+06,8.5951e-18
4.4779e+06,9.2174e-18
4.4906e+06,9.9592e-18
4.5033e+06,1.0097e-17
4.5161e+06,9.7499e-18
4.5288e+06,9.1257e-18
4.5415e+06,9.3616e-18
4.5542e+06,9.6899e-18
4.567e+06,1.1056e-17
4.5797e+06,1.2302e-17
4.5924e+06,1.2316e-17
4.6051e+06,1.2224e-17
4.6178e+06,1.2493e-17
4.6306e+06,1.1684e-17
4.6433e+06,1.147e-17
4.656e+06,1.1196e-17
4.6687e+06,1.0398e-17
4.6814e+06,9.9982e-18
4.6942e+06,9.7096e-18
4.7069e+06,9.851e-18
4.7196e+06,1.0623e-17
4.7323e+06,1.128e-17
4.7451e+06,1.1837e-17
4.7578e+06,1.257e-17
4.7705e+06,1.2725e-17
4.7832e+06,1.1371e-17
4.7959e+06,1.0449e-17
4.8087e+06,9.876e-18
4.8214e+06,1.0006e-17
4.8341e+06,1.0579e-17
4.8468e+06,1.0928e-17
4.8595e+06,1.2126e-17
4.8723e+06,1.3196e-17
4.885e+06,1.4063e-17
4.8977e+06,1.408e-17
4.9104e+06,1.311e-17
4.9232e+06,1.3196e-17
4.9359e+06,1.2729e-17
4.9486e+06,1.1943e-17
4.9613e+06,1.1718e-17
4.974e+06,1.1273e-17
