x,y
2.6079e+06,3.9289e-17
2.6206e+06,3.8415e-17
2.6333e+06,3.7858e-17
2.646e+06,3.7319e-17
2.6588e+06,3.678e-17
2.6715e+06,3.6335e-17
2.6842e+06,3.555e-17
2.6969e+06,3.5461e-17
2.7096e+06,3.4879e-17
2.7224e+06,3.4036e-17
2.7351e+06,3.3822e-17
2.7478e+06,3.3275e-17
2.7605e+06,3.2987e-17
2.7732e+06,3.2442e-17
2.786e+06,3.2154e-17
2.7987e+06,3.1726e-17
2.8114e+06,3.1177e-17
2.8241e+06,3.1102e-17
2.8369e+06,3.0517e-17
2.8496e+06,3.0743e-17
2.8623e+06,3.0364e-17
2.875e+06,3.0248e-17
2.8877e+06,3.0183e-17
2.9005e+06,2.984e-17
2.9132e+06,3.0058e-17
2.9259e+06,2.9722e-17
2.9386e+06,2.9529e-17
2.9513e+06,2.9459e-17
2.9641e+06,2.9155e-17
2.9768e+06,2.8989e-17
2.9895e+06,2.8808e-17
3.0022e+06,2.8909e-17
3.015e+06,2.8962e-17
3.0277e+06,2.8702e-17
3.0404e+06,2.8794e-17
3.0531e+06,2.8424e-17
3.0658e+06,2.8638e-17
3.0786e+06,2.8525e-17
3.0913e+06,2.8454e-17
3.104e+06,2.8612e-17
3.1167e+06,2.8169e-17
3.1294e+06,2.8195e-17
3.1422e+06,2.8246e-17
3.1549e+06,2.8218e-17
3.1676e+06,2.8442e-17
3.1803e+06,2.8347e-17
3.1931e+06,2.848e-17
3.2058e+06,2.8492e-17
3.2185e+06,2.8445e-17
3.2312e+06,2.8545e-17
3.2439e+06,2.8364e-17
3.2567e+06,2.8451e-17
3.2694e+06,2.8405e-17
3.2821e+06,2.8424e-17
3.2948e+06,2.8761e-17
3.3075e+06,2.8736e-17
3.3203e+06,2.8939e-17
3.333e+06,2.9086e-17
3.3457e+06,2.9044e-17
3.3584e+06,2.9386e-17
3.3712e+06,2.9326e-17
3.3839e+06,2.9431e-17
3.3966e+06,2.9706e-17
3.4093e+06,2.9749e-17
3.422e+06,2.9967e-17
3.4348e+06,3.0126e-17
3.4475e+06,3.0215e-17
3.4602e+06,3.0232e-17
3.4729e+06,3.0486e-17
3.4856e+06,3.0617e-17
3.4984e+06,3.0572e-17
3.5111e+06,3.1223e-17
3.5238e+06,3.0895e-17
3.5365e+06,3.123e-17
3.5492e+06,3.1359e-17
3.562e+06,3.137e-17
3.5747e+06,3.2021e-17
3.5874e+06,3.1599e-17
3.6001e+06,3.2136e-17
3.6129e+06,3.2041e-17
3.6256e+06,3.2568e-17
3.6383e+06,3.288e-17
3.651e+06,3.2672e-17
3.6637e+06,3.3571e-17
3.6765e+06,3.3147e-17
3.6892e+06,3.359e-17
3.7019e+06,3.3434e-17
3.7146e+06,3.3628e-17
3.7273e+06,3.4152e-17
3.7401e+06,3.3872e-17
3.7528e+06,3.4598e-17
3.7655e+06,3.4117e-17
3.7782e+06,3.4365e-17
3.791e+06,3.4712e-17
3.8037e+06,3.466e-17
3.8164e+06,3.523e-17
3.8291e+06,3.5187e-17
3.8418e+06,3.5682e-17
3.8546e+06,3.5867e-17
3.8673e+06,3.597e-17
3.88e+06,3.6464e-17
3.8927e+06,3.6365e-17
3.9054e+06,3.6698e-17
3.9182e+06,3.6839e-17
3.9309e+06,3.6902e-17
3.9436e+06,3.7785e-17
3.9563e+06,3.7438e-17
3.9691e+06,3.83e-17
3.9818e+06,3.8083e-17
3.9945e+06,3.8165e-17
4.0072e+06,3.8674e-17
4.0199e+06,3.8283e-17
4.0327e+06,3.9242e-17
4.0454e+06,3.9178e-17
4.0581e+06,3.9345e-17
4.0708e+06,4.0011e-17
4.0835e+06,3.9413e-17
4.0963e+06,4.0506e-17
4.109e+06,4.0288e-17
4.1217e+06,4.044e-17
4.1344e+06,4.0798e-17
4.1472e+06,4.0931e-17
4.1599e+06,4.1163e-17
4.1726e+06,4.1221e-17
4.1853e+06,4.1581e-17
4.198e+06,4.173e-17
4.2108e+06,4.2205e-17
4.2235e+06,4.2347e-17
4.2362e+06,4.2241e-17
4.2489e+06,4.2903e-17
4.2616e+06,4.2849e-17
4.2744e+06,4.3708e-17
4.2871e+06,4.3635e-17
4.2998e+06,4.3598e-17
4.3125e+06,4.4491e-17
4.3252e+06,4.3739e-17
4.338e+06,4.5061e-17
4.3507e+06,4.4445e-17
4.3634e+06,4.4866e-17
4.3761e+06,4.5105e-17
4.3889e+06,4.449e-17
4.4016e+06,4.5714e-17
4.4143e+06,4.5318e-17
4.427e+06,4.5959e-17
4.4397e+06,4.5543e-17
4.4525e+06,4.5339e-17
4.4652e+06,4.6952e-17
4.4779e+06,4.6246e-17
4.4906e+06,4.7001e-17
4.5033e+06,4.7026e-17
4.5161e+06,4.6826e-17
4.5288e+06,4.7712e-17
4.5415e+06,4.7618e-17
4.5542e+06,4.7912e-17
4.567e+06,4.8301e-17
4.5797e+06,4.83e-17
4.5924e+06,4.8653e-17
4.6051e+06,4.8389e-17
4.6178e+06,4.6992e-17
4.6306e+06,4.5871e-17
4.6433e+06,4.5384e-17
4.656e+06,4.4796e-17
4.6687e+06,4.4678e-17
4.6814e+06,4.4412e-17
4.6942e+06,4.4244e-17
4.7069e+06,4.4195e-17
4.7196e+06,4.4019e-17
4.7323e+06,4.3718e-17
4.7451e+06,4.3988e-17
4.7578e+06,4.3916e-17
4.7705e+06,4.3548e-17
4.7832e+06,4.3528e-17
4.7959e+06,4.3394e-17
4.8087e+06,4.3435e-17
4.8214e+06,4.3225e-17
4.8341e+06,4.3778e-17
4.8468e+06,4.3471e-17
4.8595e+06,4.3689e-17
4.8723e+06,4.394e-17
4.885e+06,4.3559e-17
4.8977e+06,4.3501e-17
4.9104e+06,4.3531e-17
4.9232e+06,4.3522e-17
4.9359e+06,4.339e-17
4.9486e+06,4.3579e-17
4.9613e+06,4.3279e-17
4.974e+06,4.3184e-17
4.9868e+06,4.2913e-17
4.9995e+06,4.271e-17
5.0122e+06,4.2725e-17
5.0249e+06,4.3156e-17
5.0376e+06,4.3264e-17
5.0504e+06,4.2998e-17
5.0631e+06,4.2912e-17
5.0758e+06,4.2743e-17
5.0885e+06,4.2884e-17
5.1012e+06,4.2997e-17
5.114e+06,4.2824e-17
5.1267e+06,4.3005e-17
5.1394e+06,4.2714e-17
5.1521e+06,4.2858e-17
5.1649e+06,4.299e-17
5.1776e+06,4.278e-17
5.1903e+06,4.2805e-17
5.203e+06,4.2614e-17
5.2157e+06,4.2502e-17
5.2285e+06,4.2661e-17
5.2412e+06,4.2397e-17
5.2539e+06,4.2443e-17
5.2666e+06,4.2565e-17
5.2793e+06,4.2281e-17
5.2921e+06,4.2192e-17
5.3048e+06,4.2213e-17
5.3175e+06,4.2357e-17
5.3302e+06,4.2431e-17
5.343e+06,4.2005e-17
5.3557e+06,4.2247e-17
5.3684e+06,4.1944e-17
5.3811e+06,4.1648e-17
5.3938e+06,4.1546e-17
5.4066e+06,4.1626e-17
5.4193e+06,4.178e-17
5.432e+06,4.1947e-17
5.4447e+06,4.1458e-17
5.4574e+06,4.1646e-17
