x,y
2.6079e+06,8.7034e-20
2.6206e+06,8.8058e-20
2.6333e+06,8.5335e-20
2.646e+06,8.5781e-20
2.6588e+06,8.3902e-20
2.6715e+06,8.2007e-20
2.6842e+06,8.3208e-20
2.6969e+06,8.1311e-20
2.7096e+06,8.1686e-20
2.7224e+06,8.0364e-20
2.7351e+06,7.9783e-20
2.7478e+06,7.9059e-20
2.7605e+06,7.8301e-20
2.7732e+06,7.9218e-20
2.786e+06,7.7566e-20
2.7987e+06,7.7439e-20
2.8114e+06,7.6217e-20
2.8241e+06,7.352e-20
2.8369e+06,7.5e-20
2.8496e+06,7.3394e-20
2.8623e+06,7.3788e-20
2.875e+06,7.3187e-20
2.8877e+06,7.2573e-20
2.9005e+06,7.3137e-20
2.9132e+06,7.2861e-20
2.9259e+06,7.2948e-20
2.9386e+06,7.1654e-20
2.9513e+06,7.128e-20
2.9641e+06,7.0753e-20
2.9768e+06,6.9882e-20
2.9895e+06,7.0317e-20
3.0022e+06,6.9508e-20
3.015e+06,6.9046e-20
3.0277e+06,6.8529e-20
3.0404e+06,6.6974e-20
3.0531e+06,6.8027e-20
3.0658e+06,6.6325e-20
3.0786e+06,6.6731e-20
3.0913e+06,6.5793e-20
3.104e+06,6.5599e-20
3.1167e+06,6.6036e-20
3.1294e+06,6.5191e-20
3.1422e+06,6.5819e-20
3.1549e+06,6.4365e-20
3.1676e+06,6.3677e-20
3.1803e+06,6.3405e-20
3.1931e+06,6.2994e-20
3.2058e+06,6.399e-20
3.2185e+06,6.1594e-20
3.2312e+06,6.179e-20
3.2439e+06,6.1185e-20
3.2567e+06,5.9927e-20
3.2694e+06,6.044e-20
3.2821e+06,5.9393e-20
3.2948e+06,6.0241e-20
3.3075e+06,5.9342e-20
3.3203e+06,5.9386e-20
3.333e+06,5.9028e-20
3.3457e+06,5.8751e-20
3.3584e+06,5.9803e-20
3.3712e+06,5.8465e-20
3.3839e+06,5.9469e-20
3.3966e+06,5.8735e-20
3.4093e+06,5.8487e-20
3.422e+06,5.8621e-20
3.4348e+06,5.8211e-20
3.4475e+06,5.8926e-20
3.4602e+06,5.7744e-20
3.4729e+06,5.7373e-20
3.4856e+06,5.7537e-20
3.4984e+06,5.6874e-20
3.5111e+06,5.722e-20
3.5238e+06,5.5763e-20
3.5365e+06,5.6548e-20
3.5492e+06,5.5989e-20
3.562e+06,5.5731e-20
3.5747e+06,5.701e-20
3.5874e+06,5.5663e-20
3.6001e+06,5.6317e-20
3.6129e+06,5.529e-20
3.6256e+06,5.5752e-20
3.6383e+06,5.5564e-20
3.651e+06,5.4815e-20
3.6637e+06,5.6198e-20
3.6765e+06,5.5012e-20
3.6892e+06,5.4809e-20
3.7019e+06,5.4609e-20
3.7146e+06,5.3945e-20
3.7273e+06,5.5151e-20
3.7401e+06,5.4327e-20
3.7528e+06,5.4624e-20
3.7655e+06,5.4013e-20
3.7782e+06,5.3627e-20
3.791e+06,5.4596e-20
3.8037e+06,5.365e-20
3.8164e+06,5.3679e-20
3.8291e+06,5.3313e-20
3.8418e+06,5.3249e-20
3.8546e+06,5.2567e-20
3.8673e+06,5.2742e-20
3.88e+06,5.3341e-20
3.8927e+06,5.2407e-20
3.9054e+06,5.3156e-20
3.9182e+06,5.3284e-20
3.9309e+06,5.2273e-20
3.9436e+06,5.3712e-20
3.9563e+06,5.2768e-20
3.9691e+06,5.4095e-20
3.9818e+06,5.3434e-20
3.9945e+06,5.2939e-20
4.0072e+06,5.3303e-20
4.0199e+06,5.2543e-20
4.0327e+06,5.3473e-20
4.0454e+06,5.2924e-20
4.0581e+06,5.353e-20
4.0708e+06,5.3764e-20
4.0835e+06,5.3165e-20
4.0963e+06,5.4156e-20
4.109e+06,5.3009e-20
4.1217e+06,5.3346e-20
4.1344e+06,5.2868e-20
4.1472e+06,5.2539e-20
4.1599e+06,5.3383e-20
4.1726e+06,5.2821e-20
4.1853e+06,5.3687e-20
4.198e+06,5.2928e-20
4.2108e+06,5.3558e-20
4.2235e+06,5.3916e-20
4.2362e+06,5.318e-20
4.2489e+06,5.411e-20
4.2616e+06,5.3644e-20
4.2744e+06,5.3937e-20
4.2871e+06,5.3746e-20
4.2998e+06,5.3939e-20
4.3125e+06,5.4452e-20
4.3252e+06,5.3647e-20
4.338e+06,5.4419e-20
4.3507e+06,5.3938e-20
4.3634e+06,5.4257e-20
4.3761e+06,5.4167e-20
4.3889e+06,5.3582e-20
4.4016e+06,5.4482e-20
4.4143e+06,5.4087e-20
4.427e+06,5.4861e-20
4.4397e+06,5.5103e-20
4.4525e+06,5.4489e-20
4.4652e+06,5.5176e-20
4.4779e+06,5.4126e-20
4.4906e+06,5.4835e-20
4.5033e+06,5.4655e-20
4.5161e+06,5.4864e-20
4.5288e+06,5.5494e-20
4.5415e+06,5.5003e-20
4.5542e+06,5.5782e-20
4.567e+06,5.4752e-20
4.5797e+06,5.54e-20
4.5924e+06,5.5635e-20
4.6051e+06,5.5197e-20
4.6178e+06,5.3339e-20
4.6306e+06,5.0908e-20
4.6433e+06,4.9152e-20
4.656e+06,4.8132e-20
4.6687e+06,4.6944e-20
4.6814e+06,4.577e-20
4.6942e+06,4.4687e-20
4.7069e+06,4.369e-20
4.7196e+06,4.3226e-20
4.7323e+06,4.2366e-20
4.7451e+06,4.1955e-20
4.7578e+06,4.1551e-20
4.7705e+06,4.1024e-20
4.7832e+06,4.0767e-20
4.7959e+06,4.0256e-20
4.8087e+06,4.0078e-20
4.8214e+06,3.9368e-20
4.8341e+06,3.9585e-20
4.8468e+06,3.8763e-20
4.8595e+06,3.8333e-20
4.8723e+06,3.8058e-20
4.885e+06,3.7971e-20
4.8977e+06,3.7945e-20
4.9104e+06,3.7869e-20
4.9232e+06,3.7761e-20
4.9359e+06,3.7501e-20
4.9486e+06,3.7494e-20
4.9613e+06,3.7192e-20
4.974e+06,3.707e-20
4.9868e+06,3.6918e-20
4.9995e+06,3.6584e-20
5.0122e+06,3.6558e-20
5.0249e+06,3.6491e-20
5.0376e+06,3.6453e-20
5.0504e+06,3.6257e-20
5.0631e+06,3.6495e-20
5.0758e+06,3.638e-20
5.0885e+06,3.6392e-20
5.1012e+06,3.6404e-20
5.114e+06,3.6328e-20
5.1267e+06,3.6443e-20
5.1394e+06,3.6564e-20
5.1521e+06,3.6753e-20
5.1649e+06,3.6583e-20
5.1776e+06,3.6492e-20
5.1903e+06,3.6413e-20
5.203e+06,3.652e-20
5.2157e+06,3.6829e-20
5.2285e+06,3.6967e-20
5.2412e+06,3.6879e-20
5.2539e+06,3.6807e-20
5.2666e+06,3.6877e-20
5.2793e+06,3.7152e-20
5.2921e+06,3.7518e-20
5.3048e+06,3.778e-20
5.3175e+06,3.7781e-20
5.3302e+06,3.7646e-20
5.343e+06,3.767e-20
5.3557e+06,3.7946e-20
5.3684e+06,3.8151e-20
5.3811e+06,3.7991e-20
5.3938e+06,3.7955e-20
5.4066e+06,3.7908e-20
5.4193e+06,3.8065e-20
5.432e+06,3.8297e-20
5.4447e+06,3.8398e-20
5.4574e+06,3.8595e-20
5.4702e+06,3.8471e-20
5.4829e+06,3.8638e-20
5.4956e+06,3.8858e-20
5.5083e+06,3.9145e-20
5.5211e+06,3.9107e-20
5.5338e+06,3.914e-20
5.5465e+06,3.9464e-20
5.5592e+06,3.9679e-20
5.5719e+06,3.9914e-20
5.5847e+06,3.9836e-20
5.5974e+06,3.9966e-20
5.6101e+06,4.0109e-20
5.6228e+06,4.0031e-20
5.6355e+06,3.9941e-20
5.6483e+06,4.0429e-20
5.661e+06,4.0782e-20
5.6737e+06,4.1305e-20
5.6864e+06,4.1709e-20
5.6992e+06,4.1192e-20
5.7119e+06,4.1247e-20
5.7246e+06,4.1614e-20
5.7373e+06,4.1515e-20
5.75e+06,4.1864e-20
5.7628e+06,4.1869e-20
5.7755e+06,4.2265e-20
5.7882e+06,4.3263e-20
5.8009e+06,4.3278e-20
5.8136e+06,4.3426e-20
5.8264e+06,4.3687e-20
5.8391e+06,4.3024e-20
5.8518e+06,4.3665e-20
5.8645e+06,4.41e-20
5.8773e+06,4.4275e-20
5.89e+06,4.4824e-20
5.9027e+06,4.394e-20
5.9154e+06,4.4331e-20
5.9281e+06,4.4778e-20
5.9409e+06,4.4497e-20
5.9536e+06,4.4817e-20
5.9663e+06,4.4832e-20
5.979e+06,4.5025e-20
5.9917e+06,4.5762e-20
6.0045e+06,4.5936e-20
6.0172e+06,4.628e-20
6.0299e+06,4.6847e-20
6.0426e+06,4.7276e-20
6.0553e+06,4.7683e-20
6.0681e+06,4.7204e-20
6.0808e+06,4.6276e-20
6.0935e+06,4.6251e-20
6.1062e+06,4.6618e-20
6.119e+06,4.6249e-20
6.1317e+06,4.6672e-20
6.1444e+06,4.7688e-20
6.1571e+06,4.769e-20
6.1698e+06,4.7787e-20
6.1826e+06,4.7938e-20
6.1953e+06,4.7653e-20
6.208e+06,4.8543e-20
6.2207e+06,4.8534e-20
6.2334e+06,4.9125e-20
6.2462e+06,4.9108e-20
6.2589e+06,4.8392e-20
6.2716e+06,4.9743e-20
6.2843e+06,4.9505e-20
6.2971e+06,4.9132e-20
6.3098e+06,5.016e-20
6.3225e+06,4.8886e-20
6.3352e+06,5.0018e-20
6.3479e+06,4.9967e-20
6.3607e+06,4.792e-20
6.3734e+06,4.9397e-20
6.3861e+06,4.9134e-20
6.3988e+06,4.9854e-20
6.4115e+06,4.8549e-20
6.4243e+06,4.7939e-20
6.437e+06,4.8599e-20
6.4497e+06,4.8232e-20
6.4624e+06,5.002e-20
6.4752e+06,5.0239e-20
6.4879e+06,5.2379e-20
6.5006e+06,5e-20
