a,b,c
31.544,2.7124,2.48
31.569,2.717,2.49
31.605,2.76,2.5
31.593,2.7625,2.51
31.602,2.7734,2.52
31.542,2.7689,2.53
31.61,2.8779,2.54
31.532,2.8506,2.55
31.581,2.9882,2.56
31.532,2.9958,2.57
31.439,2.9575,2.58
31.376,2.9616,2.59
31.313,2.9651,2.6
31.252,2.9689,2.61
31.205,3.0044,2.62
31.139,3.0458,2.63
31.071,3.0528,2.64
30.965,3.0469,2.65
30.894,3.0201,2.66
30.857,3.0613,2.67
30.812,3.0547,2.68
30.821,3.11,2.69
30.789,3.1167,2.7
30.723,3.094,2.71
30.619,3.002,2.72
30.655,3.0545,2.73
30.61,3.0223,2.74
30.568,2.9739,2.75
30.605,3.0142,2.76
30.568,2.9665,2.77
30.549,2.9461,2.78
30.587,2.9191,2.79
30.592,2.9025,2.8
30.653,2.8983,2.81
30.722,2.941,2.82
30.78,2.9404,2.83
30.843,2.9264,2.84
30.869,2.9039,2.85
30.91,2.8547,2.86
30.957,2.8029,2.87
31.014,2.8099,2.88
31.094,2.8408,2.89
31.23,2.8973,2.9
31.254,2.8814,2.91
31.317,2.8649,2.92
31.365,2.8637,2.93
31.4,2.8712,2.94
31.429,2.8823,2.95
31.538,2.9493,2.96
31.562,2.9299,2.97
31.62,2.9834,2.98
31.6,2.9991,2.99
31.573,2.9776,3
31.584,3.017,3.01
31.571,3.0177,3.02
31.637,3.0947,3.03
31.54,3.0657,3.04
31.496,3.0885,3.05
31.453,3.0898,3.06
31.431,3.1275,3.07
31.394,3.145,3.08
31.322,3.1152,3.09
31.304,3.1629,3.1
31.083,3.2935,3.11
31.249,3.2549,3.12
31.245,3.3083,3.13
31.23,3.3565,3.14
31.137,3.3219,3.15
31.122,3.3405,3.16
31.096,3.3585,3.17
30.985,3.3173,3.18
30.956,3.3492,3.19
30.942,3.3369,3.2
30.914,3.3315,3.21
30.893,3.3409,3.22
30.893,3.3816,3.23
30.841,3.3004,3.24
30.85,3.3217,3.25
30.899,3.3306,3.26
30.926,3.3617,3.27
30.945,3.3342,3.28
30.888,3.2382,3.29
